celltypebydonor,new_count
CAP1UCSDX43,50
CAP1UCSDX44,35
CAP1UCSDX46,2
CAP1UCSDX47,1
CAP1UCSDX50,40
CAP1UCSDX51,30
CAP1UCSDX52,2
CAP1UCSDX53,34
CAP1UCSDX58,38
CAP1UCSDX59,36
CAP1UCSDX6,21
CAP1UCSDX61,26
CAP1UCSDX62,42
CAP1UCSDX63,42
CAP1UCSDX64,35
CAP1UCSDX69,33
CAP1UCSDX7,63
CAP1UCSDX72,40
CAP1UCSDX76,30
CAP1UCSDX77,21
CAP1UCSDX78,25
CAP1UCSDX8,6
CAP1UCSDX9,29
CAP2D042,40
CAP2D071,9
CAP2D116,3
CAP2D122,41
CAP2D123,35
CAP2D176,56
CAP2D231,44
CAP2D239,37
CAP2D260,11
CAP2D265,153
CAP2D266,42
CAP2D271,1
CAP2D283,2
CAP2D288,37
CAP2D291,10
CAP2D292,39
CAP2D294,22
CAP2D306,502
CAP2D312,57
CAP2D314,23
CAP2D315,9
CAP2D320,8
CAP2D332,6
CAP2D335,12
CAP2D339,72
CAP2D347,58
CAP2D351,1
CAP2D355,36
CAP2D356,22
CAP2D357,40
CAP2D366,11
CAP2D369,33
CAP2D370,52
CAP2D371,6
CAP2D376,5
CAP2D381,20
CAP2UCSDX11,13
CAP2UCSDX13,2
CAP2UCSDX14,2
CAP2UCSDX15,1
CAP2UCSDX16,35
CAP2UCSDX18,28
CAP2UCSDX19,55
CAP2UCSDX2,14
CAP2UCSDX20,2
CAP2UCSDX21,19
CAP2UCSDX23,27
CAP2UCSDX24,24
CAP2UCSDX25,11
CAP2UCSDX28,57
CAP2UCSDX29,5
CAP2UCSDX3,1
CAP2UCSDX30,11
CAP2UCSDX31,7
CAP2UCSDX33,34
CAP2UCSDX35,5
CAP2UCSDX37,2
CAP2UCSDX38,69
CAP2UCSDX39,25
CAP2UCSDX4,10
CAP2UCSDX40,41
CAP2UCSDX42,50
CAP2UCSDX43,40
CAP2UCSDX44,44
CAP2UCSDX49,2
CAP2UCSDX50,42
CAP2UCSDX51,19
CAP2UCSDX52,4
CAP2UCSDX53,42
CAP2UCSDX58,58
CAP2UCSDX59,33
CAP2UCSDX6,9
CAP2UCSDX61,40
CAP2UCSDX62,37
CAP2UCSDX63,41
CAP2UCSDX64,34
CAP2UCSDX69,44
CAP2UCSDX7,47
CAP2UCSDX72,46
CAP2UCSDX76,39
CAP2UCSDX77,10
CAP2UCSDX78,8
CAP2UCSDX8,2
CAP2UCSDX9,17
ClubD042,22
ClubD071,4
ClubD116,1
ClubD122,31
ClubD123,3
ClubD176,7
ClubD231,6
ClubD239,2
ClubD260,5
ClubD265,4
ClubD266,1
ClubD271,6
ClubD283,6
ClubD288,9
ClubD291,9
ClubD292,11
ClubD294,14
ClubD306,6
ClubD311,3
ClubD312,7
ClubD314,31
ClubD315,10
ClubD320,2
ClubD332,6
ClubD335,15
ClubD339,1
ClubD347,2
ClubD355,5
ClubD356,4
ClubD357,3
ClubD366,7
ClubD369,1
ClubD370,2
ClubD371,1
ClubD376,18
ClubD381,10
ClubUCSDX10,26
ClubUCSDX11,8
ClubUCSDX13,86
ClubUCSDX14,221
